symbol,category
Vom2r2,receptors and binding proteins
Vom2r3,receptors and binding proteins
Vom2r6,receptors and binding proteins
LOC292449,miscellaneous and unknown
Lats1,transcription
Fbxo30,transcription
Epm2a,development
Sf3b5,translation and protein modification
Plagl1,transcription
Fuca2,metabolism and transport
Hivep2,transcription
Nmbr,signaling
Reps1,signaling
Perp,apoptosis
Ifngr1,receptors and binding proteins
RGD1306565,signaling
Bclaf1,transcription
Ahi1,development
Hbs1l,development
LOC498544,miscellaneous and unknown
Lama2,cytoskeleton
L3mbtl3,epigenetics
Tmem200a,miscellaneous and unknown
Enpp1,signaling
Rps12,translation and protein modification
Tcf21,transcription
Tbpl1,epigenetics
Hey2,transcription
Rnf146,proteolysis
Cep72,cell cycle
Plekhg1,signaling
Mthfd1l,metabolism and transport
RGD1305235,EST
Esr1,receptors and binding proteins
Synj2,development
RGD1566403,miscellaneous and unknown
Acat2,metabolism and transport
Igf2r,growth factor
Slc22a1,metabolism and transport
Pacrg,development
Rnaset2,translation and protein modification
LOC365114,epigenetics
Mllt4,transcription
Vom2r7,receptors and binding proteins
RGD1560825,signaling
RGD1564858,signaling
RGD1561667,signaling
Smoc2,signaling
RGD1309374,EST
Tbp,transcription
Rpl35a,translation and protein modification
Riok2,signaling
Lix1,development
LOC688452,miscellaneous and unknown
Taf5l,translation and protein modification
RGD1311064,transcription
Vom2r80,receptors and binding proteins
Vom2r16,receptors and binding proteins
Vom2r25,receptors and binding proteins
Eif5b,translation and protein modification
Vom1r29,receptors and binding proteins
Lilrb3,receptors and binding proteins
Leng4,receptors and binding proteins
Tmc4,metabolism and transport
Zfp418,transcription
Zfp583,transcription
RGD1564651,transcription
V1rd6,receptors and binding proteins
Rasl2-9,signaling
Rfpl4a,cell cycle
Cox6b2,electron transport
Tmem86b,miscellaneous and unknown
Lair1,immune response
RGD1564617,translation and protein modification
V1rm6,receptors and binding proteins
Zfp110,transcription
Rps5,translation and protein modification
Zbtb45,transcription
V1rj2,receptors and binding proteins
Vom1r59,receptors and binding proteins
Srp72,signaling
Whsc1,development
Rps19,translation and protein modification
Napa,development
Slc8a2,metabolism and transport
LOC678741,transcription
Tmem160,miscellaneous and unknown
Gng5,signaling
Gng8,signaling
Pnmal2,miscellaneous and unknown
Ceacam11,cytoskeleton
Mill2,immune response
Snrpd2,translation and protein modification
Mir330,micro RNA
Ercc1,epigenetics
LOC686781,transcription
Trappc6a,metabolism and transport
Zfp180,transcription
Lgtnl1,receptors and binding proteins
Ceacam6,cytoskeleton
Znf574,transcription
Megf8,growth factor
Atp5sl,metabolism and transport
Exosc5,metabolism and transport
Cyp2b2,electron transport
Blvrb,metabolism and transport
Sertad1,transcription
LOC499110,transcription
Dyrk1b,signaling
Lrfn1,cytoskeleton
Gmfg,development
Lgals7,cytoskeleton
Yif1b,development
LOC499120,miscellaneous and unknown
Tyrobp,receptors and binding proteins
Lgi4,development
Cebpa,transcription
Rhpn2,signaling
Ccdc123,EST
Slc7a9,metabolism and transport
Rpl27a,translation and protein modification
LOC687769,transcription
RGD1562094,EST
Siglec5,immune response
Ctu1,receptors and binding proteins
Klk8,metabolism and transport
Klk1b21,metabolism and transport
Klk5l,metabolism and transport
Klk1l,proteolysis
Fv1,immune response
Shank1,development
Napsa,proteolysis
Kcnc3,metabolism and transport
Vrk3,signaling
Pnkp,DNA repair
Irf3,immune response
Rras,transcription
Nosip,metabolism and transport
Pih1d1,signaling
Rasip1,signaling
Ccdc114,transcription
Nomo1,development
Kcnc1,metabolism and transport
Ldha,metabolism and transport
Ldhc,metabolism and transport
Mrgprb5,signaling
Zdhhc13,transcription
Nav2,development
Htatip2,development
Nell1,development
LOC100125384,miscellaneous and unknown
Gas2,growth factor
RGD1563838,transcription
Herc2,metabolism and transport
LOC308670,epigenetics
Nsbp1,transcription
Mtmr10,cytoskeleton
Mcee,metabolism and transport
Matr3,transcription
Tarsl2,translation and protein modification
Tm2d3,development
Lins1,apoptosis
Adamts17,proteolysis
Igf1r,growth factor
Akap13,signaling
Klhl25,transcription
Isg20,transcription
Abhd2,metabolism and transport
LOC691427,metabolism and transport
Mesp2,signaling
Lsmd1,miscellaneous and unknown
Sema4b,development
RGD1560277,EST
Ttll13,cytoskeleton
Vps33b,proteolysis
Sh3gl3,signaling
Nox4,metabolism and transport
Ctsc,proteolysis
Fzd4,receptors and binding proteins
Prss23,proteolysis
Sytl2,development
RGD1565584,transcription
Prcp,proteolysis
Fam181b,miscellaneous and unknown
Odz4,development
Alg8,metabolism and transport
Kctd14,metabolism and transport
Ints4,signaling
Clns1a,metabolism and transport
LOC680761,miscellaneous and unknown
Lrrc32,cytoskeleton
Prkrir,signaling
Arrb1,signaling
LOC683241,transcription
Pgm2l1,metabolism and transport
P4ha3,metabolism and transport
Ucp3,electron transport
Ucp2,electron transport
Fchsd2,cell cycle
Stard10,Golgi apparatus
Pde2a,signaling
Pgap2,signaling
Stim1,signaling
Olr43,receptors and binding proteins
Olr60,receptors and binding proteins
Olr86,receptors and binding proteins
Olr89,receptors and binding proteins
Olr98,receptors and binding proteins
Olr122,receptors and binding proteins
Olr139,receptors and binding proteins
Olr190,receptors and binding proteins
Cckbr,receptors and binding proteins
Smpd1,signaling
Fxc1,cytoskeleton
LOC499234,development
Olfml1,development
Ppfibp2,receptors and binding proteins
Ipo7,epigenetics
Swap70,cytoskeleton
Adm,signaling
Ampd3,metabolism and transport
Mical2,cytoskeleton
Parva,cytoskeleton
Arntl,transcription
Far1,development
Spon1,growth factor
Pde3b,signaling
Cp110,cell cycle
Acsm5,metabolism and transport
Acsm3,metabolism and transport
Uqcrc2,electron transport
Eef2k,translation and protein modification
Polr3e,transcription
Hs3st2,Golgi apparatus
Scnn1g,metabolism and transport
Scnn1b,metabolism and transport
Ubfd1,proteolysis
Prkcb,signaling
Cacng3,metabolism and transport
Tnrc6a,miscellaneous and unknown
Slc5a11,metabolism and transport
Aqp8,metabolism and transport
Rps15a,translation and protein modification
Jmjd5,epigenetics
